dosis	status
5.42	dead
5.42	dead
5.42	dead
5.42	dead
5.42	dead
5.42	dead
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.42	alive
5.6	dead
5.6	dead
5.6	dead
5.6	dead
5.6	dead
5.6	dead
5.6	dead
5.6	dead
5.6	dead
5.6	dead
5.6	dead
5.6	dead
5.6	dead
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.6	alive
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	dead
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.78	alive
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	dead
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
5.96	alive
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	dead
6.12	alive
6.12	alive
6.12	alive
6.12	alive
6.12	alive
6.12	alive
6.12	alive
6.12	alive
6.12	alive
6.12	alive
6.12	alive
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	dead
6.28	alive
6.28	alive
6.28	alive
6.28	alive
6.28	alive
6.28	alive
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	dead
6.43	alive
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
6.58	dead
